author,title,description,url,date
RICARDO ALONSO-ZALDIVAR Associated Press,More than a half million Americans gain coverage under Biden,The government says more than a half million Americans have already taken advantage of the Biden administration’s special health insurance sign-up window that's keyed to the COVID-19 pandemic,https://abcnews.go.com/Business/wireStory/half-million-americans-gain-coverage-biden-76924034,2021-04-07T15:33:57Z
The Associated Press,Vietnam flight attendant gets probation for quarantine slip,"A Vietnamese court has sentenced a flight attendant to two years probation for violating COVID-19 quarantine rules and spreading the virus to others, become the first person in the country to stand trial for such offences",https://abcnews.go.com/Health/wireStory/vietnam-flight-attendant-probation-quarantine-slip-76765501,2021-03-30T10:54:44Z
The Associated Press,Today in History,"Today in History 

Today is Friday, April 16, the 106th day of 2021. There are 259 days left in the year. 

Today’s Highlight in History: 

On April 16, 2007, in one of America’s worst school attacks, a college senior killed 32 people on the campus of Virgini…",https://abcnews.go.com/US/wireStory/today-history-77109794,2021-04-16T04:03:05Z
NICOLE WINFIELD Associated Press,Pope urges hope amid 'darkness' of pandemic in Easter vigil,Pope Francis is urging his coronavirus-weary flock to not lose hope even through the continued “dark months” of the pandemic,https://abcnews.go.com/Health/wireStory/pope-urges-hope-amid-darkness-pandemic-easter-vigil-76855516,2021-04-03T19:05:45Z
Ben Gittleson,Biden faces thorough questioning -- and largely avoids major headlines,"Key takeaways from the president's first, formal press conference since taking office.",https://abcnews.go.com/Politics/biden-faces-questioning-largely-avoids-major-headlines/story?id=76685317,2021-03-26T09:14:45Z
DAN GELSTON AP Sports Writer,Back in Business: WrestleMania ready to rumble with fans,"WWE is set to welcome back fans for the first time in more than a year when 25,000 spectators are expected on both Saturday and Sunday nights for WrestleMania at Raymond James Stadium in Tampa, Florida",https://abcnews.go.com/Entertainment/wireStory/back-business-wrestlemania-ready-rumble-fans-76974137,2021-04-09T15:39:45Z
The Associated Press,Stone Mountain Park denies permit for Confederate event,"The Stone Mountain Memorial Association has denied a gathering permit from the Sons of Confederate Veterans, who were looking to host their annual Confederate Memorial Day service at Stone Mountain Park outside Atlanta",https://abcnews.go.com/US/wireStory/stone-mountain-park-denies-permit-confederate-event-77042382,2021-04-13T12:39:45Z
The Associated Press,The Latest: Britain meets target on jabs for over-50s,Britain says it has hit its target of giving at least one dose of vaccine to everyone over 50 and others in groups at highest risk from the coronavirus by mid-April,https://abcnews.go.com/Health/wireStory/latest-britain-meets-target-jabs-50s-77039136,2021-04-13T08:49:52Z
LLAZAR SEMINI Associated Press,Economist who pulled Albania out of 1997 anarchy dead at 58,"Bashkim Fino, who was appointed to shepherd Albania out of almost total chaos when fraudulent investment schemes collapsed 24 years ago and angry crowds looted military installations nationwide, has died",https://abcnews.go.com/Business/wireStory/economist-pulled-albania-1997-anarchy-dead-58-76750891,2021-03-29T16:32:05Z
TOM ODULA Associated Press,Kenya wants United Nations agency to shut down refugee camps,Kenya says it has given the United Nations 14 days to come up with a plan to close refugee camps in the country that host hundreds of thousands from war-torn neighboring nations,https://abcnews.go.com/International/wireStory/kenya-united-nations-agency-shut-refugee-camps-76657550,2021-03-24T17:40:45Z
The Associated Press,Asia Today: Philippines extends lockdown as infections spike,The Philippine government has extended a lockdown by another week after an alarming spike in coronavirus infections continued to surge and started to overwhelm many hospitals in the capital and outlying regions,https://abcnews.go.com/Health/wireStory/asia-today-philippines-extends-lockdown-infections-spike-76873257,2021-04-05T03:50:19Z
NICOLE WINFIELD Associated Press,Italy honors COVID dead on Bergamo army convoy anniversary,Italy has inaugurated a living monument to its COVID-19 dead as it marked the anniversary of one of the most haunting moments of the pandemic,https://abcnews.go.com/Business/wireStory/italy-honors-covid-dead-bergamo-army-convoy-anniversary-76531428,2021-03-18T11:44:15Z
The Associated Press,"US, Philippine forces stage scaled down drills amid pandemic","American and Philippines forces have opened one of their most scaled down annual combat exercises in decades due to the pandemic, and organizers said the drills would remain focused on territorial defense, battling terrorism and humanitarian projects",https://abcnews.go.com/US/wireStory/us-philippine-forces-stage-scaled-drills-amid-pandemic-77021116,2021-04-12T14:24:27Z
BRIAN MELLEY  Associated Press,"Sun's out, surf's up and California's reopening more widely",April is bringing a fresh breath of warm spring air to California after a stale year of coronavirus closures,https://abcnews.go.com/Health/wireStory/suns-surfs-californias-reopening-widely-76801229,2021-04-01T01:11:30Z
PAN PYLAS Associated Press,Bank of England: Cautious optimism over UK economic outlook,The Bank of England has voiced some cautious optimism about the U.K.’s economic outlook in the wake of the sharp fall in coronavirus infections and the rapid rollout of COVID-19 vaccines,https://abcnews.go.com/Business/wireStory/bank-england-cautious-optimism-uk-economic-outlook-76533331,2021-03-18T13:14:14Z
MICHELLE R. SMITH Associated Press,Clarification: Virus Outbreak story,"In a story published April 8, 2021, about rising coronavirus cases around the world, The Associated Press reported that Peru was among the countries, along with the U.S. and Brazil, that had reported a 24-hour tally of COVID-19 deaths that exceeded 4,000",https://abcnews.go.com/Health/wireStory/clarification-virus-outbreak-story-76982937,2021-04-09T21:01:34Z
Meredith Deliso,Miami Beach declares emergency due to 'out of control' spring break crowds,"Miami Beach officials have declared a state of emergency due to ""overwhelming"" spring break crowds.",https://abcnews.go.com/US/miami-beach-declares-state-emergency-due-spring-break/story?id=76583000,2021-03-20T23:54:05Z
DAVE COLLINS Associated Press,Ex-police chief seeks to avoid prison in hiring scandal,The former police chief of Connecticut’s largest city is urging a federal judge to not send him to prison for corrupting the process that led to his appointment in 2018,https://abcnews.go.com/US/wireStory/police-chief-seeks-avoid-prison-hiring-scandal-76771513,2021-03-30T16:49:15Z
JOHN LEICESTER and SYLVIE CORBET Associated Press,Medical workers conflicted by France's lockdown that isn't,"French Prime Minister Jean Castex has announced new restrictions to combat the resurgent coronavirus epidemic in Paris, where gravely ill patients are filling ICUs",https://abcnews.go.com/Health/wireStory/medical-workers-conflicted-frances-lockdown-76555137,2021-03-19T12:04:03Z
DAVE COLLINS Associated Press,Advocates: Prisons need better vaccine education for inmates,Advocates for prison inmates say more needs to be done to educate prisoners about coronavirus vaccines because large numbers of them are declining the shots,https://abcnews.go.com/Health/wireStory/advocates-prisons-vaccine-education-inmates-76947424,2021-04-08T14:52:21Z
The Associated Press,Inmates stage uprising at St. Louis jail,"Inmates have broken windows, set a fire and thrown debris at a St. Louis jail that has been plagued by uprisings in recent months",https://abcnews.go.com/US/wireStory/inmates-stage-uprising-st-louis-jail-76874130,2021-04-05T05:46:44Z
KRISTA LARSON Associated Press,Africa CDC says India vaccine woes could be 'catastrophic',The director of the Africa Centers for Disease Control and Prevention is warning that Africa won't meet its targets for COVID-19 vaccinations if delays continue at a key Indian manufacturer,https://abcnews.go.com/International/wireStory/africa-cdc-india-vaccine-woes-catastrophic-76809634,2021-04-01T13:01:45Z
MaryAlice Parks,Over 200 businesses urge congressional leaders on federal paid family leave program - ABC News,Over 200 businesses urge congressional leaders on federal paid family leave program  ABC News,https://abcnews.go.com/Politics/200-businesses-urge-congressional-leaders-federal-paid-family/story?id=76616882,2021-03-23T09:08:52Z
The Associated Press,The Latest: S Korea to resume AstraZeneca jab for ages 30-60,South Korea says it will resume administrating AstraZeneca’s coronavirus vaccine to all eligible people between the ages of 30 and 60,https://abcnews.go.com/Health/wireStory/latest-korea-resume-astrazeneca-jab-ages-30-60-77003105,2021-04-11T09:00:25Z
FABIOLA SANCHEZ Associated Press,Mexico Good Friday re-enactment another victim of pandemic,The Mexico City hilltop that normally hosts the largest re-enactment of the crucifixion in the hemisphere was empty on Good Friday,https://abcnews.go.com/International/wireStory/mexico-good-friday-enactment-victim-pandemic-76843433,2021-04-02T22:27:54Z
Bill Hutchinson,Rite Aid apologizes after undocumented immigrants denied COVID-19 vaccine,Rite Aid apologizes after two undocumented immigrants denied COVID-19 vaccine,https://abcnews.go.com/US/rite-aid-apologizes-undocumented-immigrants-denied-covid-19/story?id=76590963,2021-03-21T19:53:31Z
"Laura Romero, Dr. Leah Croll","Increased use of vaccine passports could lead to scams, experts warn","As more venues and services start to require proof of vaccination for access, experts are warning of a rise in fraudulent activity surrounding vaccine passports.",https://abcnews.go.com/US/increased-vaccine-passports-lead-scams-experts-warn/story?id=76754919,2021-03-30T12:14:17Z
The Associated Press,US average mortgage rates fall again; 30-year loan at 3.04%,Mortgage rates fell for a second straight week amid signs of economic improvement,https://abcnews.go.com/Business/wireStory/us-average-mortgage-rates-fall-30-year-loan-77096401,2021-04-15T17:00:52Z
The Associated Press,China urges unhurried public to get vaccinated against COVID,"In China, the problem doesn’t seem to be a shortage of vaccine",https://abcnews.go.com/Health/wireStory/china-urges-unhurried-public-vaccinated-covid-76588818,2021-03-21T11:13:04Z
The Associated Press,UK regulator: People should keep getting AstraZeneca shots,British regulators say people should keep getting AstraZeneca's COVID-19 vaccine following its review of data on patients who suffered from blood clots after getting the shot,https://abcnews.go.com/Business/wireStory/uk-regulator-people-astrazeneca-shots-76535006,2021-03-18T14:39:39Z
MARILYNN MARCHIONE AP Chief Medical Writer,Man's Ebola relapse spawned dozens of new cases in Africa,Researchers say a man in Africa who recovered from Ebola suffered a relapse nearly six months later that led to 91 new cases before he died,https://abcnews.go.com/Health/wireStory/mans-ebola-relapse-spawned-dozens-cases-africa-76797493,2021-03-31T21:02:13Z
Erin Schumaker,Pausing Johnson & Johnson vaccines shows monitoring system is working: Experts,Pausing Johnson & Johnson vaccines shows monitoring system is working: Expertsgo.com,https://abcnews.go.com/Health/pausing-johnson-johnson-vaccines-shows-monitoring-system-working/story?id=77044244,2021-04-13T20:48:08Z
LINDSEY BAHR AP Film Writer,"Fueled by fans, ‘Zack Snyder’s Justice League’ hits HBO Max",Zack Snyder never believed that his cut of “Justice League” would see the light of day,https://abcnews.go.com/Entertainment/wireStory/fueled-fans-zack-snyders-justice-league-hits-hbo-76516346,2021-03-17T18:22:20Z
JOYCE M. ROSENBERG AP Business Writer,"Some businesses want masks on, even as states drop mandates","Although nearly a fifth of U.S. states don't require people to wear masks to protect against COVID-19, some businesses are requiring employees and customers to be masked on their premises",https://abcnews.go.com/Business/wireStory/businesses-masks-states-drop-mandates-76879037,2021-04-05T14:29:58Z
NANCY BENAC and ZEKE MILLER Associated Press,"Next slide, please: Inside wonky White House virus briefings",The White House coronavirus briefings these days have a more restrained and predictable rhythm to them than the tumultuous sessions of the last administration,https://abcnews.go.com/Health/wireStory/slide-inside-wonky-white-house-virus-briefings-76775977,2021-03-30T20:32:14Z
ANGELA CHARLTON  Associated Press,France investigates secret restaurants for Paris elite,French authorities are investigating accusations that government ministers and others dined in secret restaurants in violation of pandemic restrictions,https://abcnews.go.com/Business/wireStory/france-investigates-secret-restaurants-paris-elite-76882916,2021-04-05T18:03:41Z
KATIE PARK and ARIEL GOODMAN of The Marshall Project and KIMBERLEE KRUESI of The Associated Press,"As states expand vaccines, prisoners still lack access",Vaccinating most Americans is plenty tough — and it’s worse if you’re in prison,https://abcnews.go.com/Health/wireStory/states-expand-vaccines-prisoners-lack-access-76922743,2021-04-07T14:23:48Z
DAVID BILLER and MAURICIO SAVARESE Associated Press,"As daily deaths near 4,000, worst may lie ahead for Brazil","Brazil currently accounts for one-quarter of the entire world’s daily COVID-19 deaths, far more than any other single nation, and health experts are warning the nation is on the verge of even greater calamity",https://abcnews.go.com/Health/wireStory/daily-deaths-4000-worst-lie-ahead-brazil-76722052,2021-03-27T13:20:01Z
DIANE JEANTET and DAVID BILLER Associated Press,Shortage of intubation drugs threatens Brazil health sector,"Reports are emerging of Brazilian health workers forced to intubate patients without the aid of sedatives, after weeks of warnings that hospitals and state governments are running out of critical medicines",https://abcnews.go.com/International/wireStory/shortage-intubation-drugs-threatens-brazil-health-sector-77109797,2021-04-16T04:03:26Z
KIM TONG-HYUNG Associated Press,North Korea says it won't participate in Tokyo Olympics,North Korea says it will not participate in the Tokyo Olympics because of the coronavirus pandemic,https://abcnews.go.com/Sports/wireStory/website-north-korea-participate-tokyo-olympics-76889007,2021-04-06T04:28:28Z
MAURICIO SAVARESE and DIANE JEANTET Associated Press,Brazil's government celebrates military coup anniversary,Brazil’s government is celebrating the 57th anniversary of a military coup that led to hundreds of killings and thousands of people being tortured in a 21 year-long dictatorship,https://abcnews.go.com/International/wireStory/brazils-government-celebrates-military-coup-anniversary-76800032,2021-03-31T23:48:18Z
"Jon Haworth, Michelle Stoddart",US calls for pause in Johnson & Johnson vaccinations over blood clot concerns,The FDA and CDC announced Tuesday that they are calling for an immediate pause on the use of the single-dose Johnson & Johnson vaccine on Tuesday.,https://abcnews.go.com/US/us-calls-pause-johnson-johnson-vaccinations-blood-clot/story?id=77040882,2021-04-13T14:53:37Z
MATTHEW PERRONE AP Health Writer,US agency says women can get abortion pill via telemedicine,U.S. health officials say women seeking an abortion pill will not be required to visit a doctor’s office or clinic during the COVID-19 pandemic,https://abcnews.go.com/Health/wireStory/us-agency-women-abortion-pill-telemedicine-77045346,2021-04-13T15:18:30Z
SHEIKH SAALIQ Associated Press,Indians gather for Holi celebrations as virus cases surge,Hindus are throwing colored powder and spraying water in massive Holi celebrations despite many Indian states restricting gatherings because of a coronavirus resurgence,https://abcnews.go.com/International/wireStory/indians-gather-holi-celebrations-virus-cases-surge-76743539,2021-03-29T07:07:36Z
LLAZAR SEMINI Associated Press,Albania’s flights resume after 2-day airport closure,Commercial flights have resumed at Albania’s Tirana International Airport after they were blocked for two days by an air traffic controllers' strike,https://abcnews.go.com/International/wireStory/albanias-flights-resume-day-airport-closure-76967329,2021-04-09T10:10:15Z
"Marlene Lenthang, Aaron Katersky",Cuomo family had special access to COVID-19 tests in early days of pandemic: Reports,"New York Gov. Andrew Cuomo prioritized COVID-19 testing for his relatives, including his brother, in the early days of the pandemic, reports claim.",https://abcnews.go.com/Politics/cuomos-family-special-access-covid-19-tests-early/story?id=76675407,2021-03-25T18:08:34Z
LAURA LEÓN Associated Press,AP PHOTOS: Spain's Seville settles for subdued Easter Week,"Few Roman Catholics in devout southern Spain would have ever imagined an April without the pomp and ceremony of Holy Week processions.

With the coronavirus pandemic unremitting, they will miss them for a second year.

The streets of Seville and other Spanish…",https://abcnews.go.com/Business/wireStory/ap-photos-spains-seville-settles-subdued-easter-week-76850504,2021-04-03T07:29:45Z
LARRY NEUMEISTER Associated Press,Manhattan courthouses adapt to COVID so trials can return,"The two big, busy federal courthouses in Manhattan took the adage that justice delayed is justice denied to heart when the coronavirus hit",https://abcnews.go.com/Health/wireStory/manhattan-courthouses-adapt-covid-trials-return-76558149,2021-03-19T15:22:03Z
MATT SEDENSKY and TERRY SPENCER  Associated Press,US Rep. Alcee Hastings dies at 84; was impeached as judge,"Rep. Alcee Hastings, the fiercely liberal longtime Florida congressman who was dogged throughout his tenure by an impeachment that ended his fast-rising judicial career, has died at 84",https://abcnews.go.com/Politics/wireStory/us-rep-alcee-hastings-dies-84-impeached-judge-76899297,2021-04-06T15:01:56Z
FRANK JORDANS Associated Press,Merkel faults German 'perfectionism' for current virus woes,German Chancellor Angela Merkel has partly blamed her country’s difficulties during the coronavirus pandemic on “a tendency toward perfectionism.”,https://abcnews.go.com/Business/wireStory/merkel-faults-german-perfectionism-current-virus-woes-76744351,2021-03-29T09:54:45Z
CLAIRE GALOFARO AP National Writer,A city wrestled down an addiction crisis. Then came COVID-19,"As the COVID-19 pandemic killed more than a half-million Americans, it also quietly inflamed  what was before it one of the country’s greatest public health crises: addiction",https://abcnews.go.com/Health/wireStory/city-wrestled-addiction-crisis-covid-19-76939608,2021-04-08T05:04:25Z
GARY D. ROBERTSON Associated Press,No release for ex-officer guilty in 'Fatal Vision' murders,"A federal judge has refused to release an ex-Army captain imprisoned for decades for the murders of his wife and two young daughters, deciding he lacked authority to consider Jeffrey MacDonald’s request",https://abcnews.go.com/US/wireStory/release-officer-guilty-fatal-vision-murders-76983253,2021-04-09T21:30:13Z
COLLEEN BARRY Associated Press,"As vaccinations lag, Italy's elderly again pay a price","While Italy is better managing its latest coronavirus surge, one thing that hasn't changed is that those who are dying are predominantly elderly",https://abcnews.go.com/Health/wireStory/vaccinations-lag-italys-elderly-pay-price-76575031,2021-03-20T08:19:34Z
Mina Kaji,"Florida suing CDC, federal government over 'cruise shutdown'","Florida suing CDC, federal government over 'cruise shutdown'go.com",https://abcnews.go.com/Politics/florida-suing-cdc-federal-government-cruise-shutdown/story?id=76952545,2021-04-08T19:50:19Z
JOSEPH KRAUSS Associated Press,Christians mark Good Friday as holy sites gradually reopen,Christians in the Holy Land are marking Good Friday this year amid signs the coronavirus crisis is winding down,https://abcnews.go.com/International/wireStory/christians-mark-good-friday-holy-sites-gradually-reopen-76829156,2021-04-02T05:41:35Z
"JOHN LEICESTER, SYLVIE CORBET and ANGELA CHARLTON Associated Press",French virus surge raises harrowing specter of ICU overloads,Surging infections in France are increasingly raising the specter of hospital intensive care units running short of beds,https://abcnews.go.com/International/wireStory/french-virus-surge-raises-harrowing-specter-icu-overloads-76771470,2021-03-30T16:44:04Z
The Associated Press,Brazil economists call for tougher measures as cases ramp up,Hundreds of Brazilian economists are urging the Brazilian government to speed up vaccination and adopt tougher restrictions to stop the rampant spread of COVID-19,https://abcnews.go.com/Business/wireStory/brazil-economists-call-tougher-measures-cases-ramp-76614939,2021-03-22T21:19:08Z
HOPE YEN Associated Press,Biden economic plan to focus 1st on infrastructure this week,"President Joe Biden will lay out the first part of his multitrillion-dollar economic recovery package this week focusing on rebuilding roads, bridges and other infrastructure",https://abcnews.go.com/Business/wireStory/biden-economic-plan-focus-1st-infrastructure-week-76737155,2021-03-28T19:53:30Z
JILL LAWLESS Associated Press,Beyond the pandemic: London's Tube battles to stay on track,"Even as many of its famous institutions closed during the coronavirus pandemic for most of the past 12 months, London's Underground kept running through three successive lockdowns",https://abcnews.go.com/Business/wireStory/pandemic-londons-tube-battles-stay-track-76647637,2021-03-24T07:30:17Z
